metric,size,PANSS,estimate,conf.low,conf.high,p.value,t_value,df
word_min,20,panss_negative,0.1110476005484531,0.006291009177706151,0.21339329339345078,0.037847285064335615,2.08445831641941,348
word_min,20,panss_general,0.08909814770485741,-0.015879999406508225,0.1921334196759829,0.09606805213893874,1.668741225335461,348
word_min,30,panss_total,0.1472856804764318,0.043272649616010454,0.24814008668612353,0.005698454914293685,2.7818625915093094,349
word_min,30,panss_positive,0.16440256051739133,0.06076815786132994,0.2645302794972199,0.002000578955856799,3.113659835823679,349
word_min,30,panss_negative,0.07763672756040228,-0.027265060394145443,0.1808471813985698,0.14663321860786427,1.4547646582195823,349
word_min,30,panss_general,0.12550505997478706,0.0211020930311525,0.22720032986443517,0.018659870965853087,2.3633147890572723,349
word_min,40,panss_total,0.14078592233940468,0.03649470614294053,0.24204353308175564,0.008349734200043498,2.652748537352092,348
word_min,40,panss_positive,0.1771971188402918,0.07373699798081773,0.2768836797623582,8.69765833649256e-4,3.3587198501666986,348
word_min,40,panss_negative,0.048545382555774765,-0.05657233994937739,0.15259863314446498,0.365207972692682,0.9066713543415431,348
word_min,40,panss_general,0.12555640146915442,0.021003018729516692,0.2273932643059073,0.018781056555821248,2.3609073784081183,348
word_min,50,panss_total,0.14185650044147918,0.03743387916811604,0.2432146127491631,0.007953792192309414,2.669489741664231,347
word_min,50,panss_positive,0.1853524547475716,0.08196731003594193,0.2847909918612085,5.005673144942792e-4,3.513617254411528,347
word_min,50,panss_negative,0.04917082589499243,-0.056098844626496024,0.15335928241220909,0.3597479719038972,0.9170602897321382,347
word_min,50,panss_general,0.1219031189713622,0.017142406558151652,0.22401638226836262,0.02274631623755876,2.2878663982259657,347
word_max,10,panss_total,0.05688303796302138,-0.04869113256150639,0.16120021279484759,0.29067320008772846,1.0582690341651586,345
word_max,10,panss_positive,0.09846970418159247,-0.006884235111652288,0.2016616186887791,0.06693300761395507,1.8379258079691392,345
word_max,10,panss_negative,0.01957204350762728,-0.08588750529907652,0.1245978672019356,0.7163762796046098,0.36360422204841025,345
word_max,10,panss_general,0.034418243847977974,-0.07112204636593195,0.1391964154295557,0.5228120166738327,0.6396694992775492,345
word_max,20,panss_total,0.06318467919986082,-0.04253346554493684,0.16750358576898922,0.24110814948130863,1.1742475398581798,344
word_max,20,panss_positive,0.10405197958288989,-0.0013981517197821942,0.20721349532153766,0.05314674757268467,1.94040953851765,344
word_max,20,panss_negative,0.035024012380336866,-0.07067175330117026,0.13994203410761846,0.5161276922545737,0.6499974502339839,344
word_max,20,panss_general,0.031899925971389305,-0.07378302566033067,0.13687436053875116,0.5542683903725785,0.5919567528060687,344
word_max,30,panss_total,0.086215415457423,-0.019088605704701535,0.18962765059708725,0.10837681164412676,1.6096930913578547,346
word_max,30,panss_positive,0.13602453402168593,0.031341729460034794,0.2377555394047697,0.011079161194968894,2.5539402687247112,346
word_max,30,panss_negative,0.037658325000459056,-0.06774086869176935,0.14222624680829096,0.4837850474459674,0.7009825620227867,346
word_max,30,panss_general,0.054607879340279296,-0.05081485146250911,0.15882705987869605,0.3097295310607222,1.0172831842858219,346
word_max,40,panss_total,0.11465104291594308,0.009636187844589784,0.2171644807744115,0.0325047690562517,2.1467889718991766,346
word_max,40,panss_positive,0.16785632523380267,0.06385211365271398,0.2682534854399532,0.001675816862868767,3.1672467102593913,346
word_max,40,panss_negative,0.04906756407086267,-0.05635414373165508,0.15340721324418133,0.3614529350578011,0.9138101704354088,346
word_max,40,panss_general,0.08083727222380266,-0.024501961480841255,0.18440114215742295,0.13231427047320318,1.5085973503881094,346
word_max,50,panss_total,0.14768743641299883,0.043227607390180174,0.2489530632972124,0.00577459815937317,2.7776040869410674,346
word_max,50,panss_positive,0.19949930754210368,0.09638994436099195,0.29837237950809903,1.7971620892247197e-4,3.7870286023220476,346
word_max,50,panss_negative,0.06612054419000508,-0.03928353187606322,0.17006934161210094,0.21855794924444563,1.2326106100799612,346
word_max,50,panss_general,0.11238206295873625,0.007337753639522125,0.2149731929756234,0.03612123529399924,2.103754344354953,346
